beer_name,brewery_name,upc
"Américaine Côte Ouest","L'Hermite","0628504242049"
"M. Poe","La Pécheresse","0628110463135"
"Big Ben","Brasseurs du Monde","0629059107661"
"Tripel Hops","Brasseurs du Monde","0629059107401"
"IPA","Brasseurs du Monde","0629059107623"
"IPA Américaine Côte Ouest","L'Hermite","0628504242049"
"Session IPA 02","Isle de Garde","0705333643534"
"IPA Americaine 03","Isle de Garde","0705333643572"
"California Style IPA","Vilains","0180519005014"
"Sentinelle","Dieu du Ciel!","0703980871980"
"Ta moins forte session neipa","Lagabière Microbrasserie","0628110144270"
"Full time ","Beauregard Brasserie Distillerie","0602573184172"
"Tonka","Le Trèfle Noir Microbrasserie","0628055560371"
"O’born evil","Le Trèfle Noir Microbrasserie","0628055560326"
"Immoralité DDH Cryo","Dieu du Ciel!","0725330860512"
"Foublonne","Le Trèfle Noir Microbrasserie","0628055560135"
"Scotch Ale","11 Comtés","0850817000034"
"Nuit Blanche","La Souche","0628451443179"
